1,devlins+village,514,528,10861977,36,0
2,one,482,533,3563927,154,0
3,FateBringer,484,527,4291944,199,0
4,kaydens+village,489,539,7792503,221,0
5,larkineric,480,534,10791640,252,0
6,Barbarian+village,547,532,0,54,0
7,timber1,485,548,10818743,241,0
8,Arendelle,492,535,10870933,238,0
9,Barbarian+village,499,543,0,87,0
10,Bonus+village,511,555,0,52,9
11,Constantinople,493,533,10872542,96,0
12,Alpha,490,533,9839038,212,0
13,Attack+someone+else,487,542,10868238,210,0
14,Fior,487,525,10888635,242,0
15,What+in+the+hell,523,500,4483134,143,0
16,MrD+01,519,510,9944715,250,0
17,blue+Mountain,521,499,10384611,265,0
18,SABER+999,517,503,10516819,174,0
19,Einstadt,523,502,10814855,277,0
20,Rat+Bite+Fever,506,531,9316185,220,0
21,ROME,503,540,9902802,312,0
22,Barbarian+village,547,488,0,62,0
23,King+grandels,499,525,10361945,264,0
24,Hell+be+loose+village,494,538,10433342,237,0
25,Barbarian+village,539,449,0,90,0
26,Alfa+Carl+Nortjes+village+1,505,522,10453470,258,0
27,you,517,533,10762530,230,0
28,mickeys+village+1,499,542,10860115,233,0
29,Poona+W82,501,525,10872374,249,0
30,Cake,500,529,10849136,274,0
31,Barbarian+village,448,533,0,43,0
32,Bonus+village,513,515,0,43,9
33,Arronsharp+001,499,474,3826426,294,0
34,erickios+village,501,467,4643849,40,0
35,001+Marian52s+village,501,476,10297412,198,0
36,kyliebob19s+village,487,481,10495765,292,0
37,001.Timisoara,500,482,10534484,414,0
38,LiamRochees+village,514,477,10774003,36,0
39,Lord+BrokenSkulls,503,467,10867626,255,0
40,AndyJeremy,504,480,10899967,232,0
41,Bonus+village,500,481,0,49,7
42,pingviuns+villag,519,467,10909170,256,0
43,a1-Akademia+Terroru,497,477,10869738,121,0
44,DongerVille,482,494,9039567,261,0
45,Barbarian+village,495,487,0,47,0
46,Kool+Kidz+Klub,481,497,9052017,265,0
47,4Head,481,493,10107528,289,0
48,Mecca,493,488,10868326,362,0
49,Sin+City,489,523,4414309,247,0
50,-Mr+Gallagher-s+village,487,529,9459648,66,0
51,warriors,494,527,9986513,274,0
52,TrumpDices+village,494,520,10207554,285,0
53,kaon,491,534,10817638,170,0
54,kt89s+villages,492,531,7781671,243,0
55,Ascension,487,530,10822154,245,0
56,bassboykns+village,504,526,10887827,62,0
57,Demacia,479,539,10901949,149,0
58,ShevyThunders+village,495,531,10906557,58,0
59,-OUTOFTHEBLACK-s+village,499,519,10909990,51,0
61,NRU+1,503,507,990785,287,0
62,Bonus+village,499,473,0,43,4
63,Conglomerate,504,506,1666943,351,0
64,WarlockS,502,510,4227564,231,0
65,Bonus+village,512,519,0,78,6
67,tiajuans+village,510,513,1822905,65,0
68,0001,507,505,2809321,269,0
69,Barbarian+village,439,508,0,51,0
70,Zezimas+village,504,515,10514399,279,0
71,mind+defenders+village,514,509,10899810,36,0
73,KEDIRI,499,488,10493943,65,0
74,SPARTAN,496,496,10632092,65,0
75,tjatur,494,502,10527519,144,0
76,AU+Village,495,485,10908483,114,0
77,ALVillage,496,490,10908484,129,0
78,Admiral+Village,500,497,10909834,130,0
79,The+Kitchen,491,472,10910094,172,0
80,cool23s+village,491,496,10856955,78,0
81,Swampfirehots+village,487,526,10589350,36,0
82,adihts+village,486,472,4641509,36,0
83,xxx,497,499,130542,225,0
84,ZALROND,525,521,9791293,223,0
85,Stormwind,522,529,10897332,212,0
86,Muhahaha,523,519,10897510,258,0
87,Tamarioni,520,527,10898775,265,0
88,Zavraanti,520,524,10909432,234,0
89,%7ENew+Foundland%7E,474,521,8072324,356,0
90,Mugs,478,511,9308975,256,0
91,likos+village,511,481,10437995,36,0
92,Hidden+Leaf+Village,510,484,7551494,153,0
93,Barbarian+village,480,465,0,55,0
94,ihate2ndplaces+village,506,477,9323704,83,0
95,egonones+village,509,469,3714227,204,0
96,First,518,477,10037937,274,0
97,Farm4Funs+village,496,519,10845951,218,0
98,Scascadca,490,493,3196834,216,0
99,Ausville,487,500,10907940,226,0
100,masta,489,492,3117221,206,0
101,hladna_noc+001,479,512,10893046,250,0
103,Assasins+HQ,492,473,10526081,237,0
104,Honda,491,475,10526073,233,0
105,Bonus+village,440,505,0,99,5
106,Freedom,493,468,10585496,88,0
107,Toot+Toot,480,492,1515808,288,0
108,Level+00000000000001,483,483,2346101,165,0
109,ODD,488,499,3426911,154,0
110,Oberon,472,496,3791142,229,0
111,0001.Charming,479,488,4516962,288,0
